cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,stability,seed_kzt_origin,seed_kzt_kept,lead_gid,lead_role
24,17,1,2977887.000000000,100000004144536100;100000003031890100;100000003603979100;100000002731501100;100000002257794100,"Гипотеза: сбор денег seed в 100000004144536100 (сбор): 79% из ≈146 тыс. ₸, осевших в кластере. Seed: 1; роли: сбор 2, веер 2, конечный получатель 5; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,146419.606699609,146419.606699609,100000004144536100,consolidator
25,15,0,850450.000000000,100000002472632100;100000001526235100;100000005505655100;100000001788284100;100000000404740100,"Гипотеза: окружение крупного плательщика 100000001526235100: 86% выхода участников — не из наблюдаемой сети; денег seed ≈13 тыс. ₸. Seed: 0; роли: веер 2, конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,13070.000000000,100000002472632100,terminal
26,15,0,3626010.000000000,100000001819396100;100000002691583100;100000003122817100;100000006704530100;100000008461532100,"Гипотеза: окружение крупного плательщика 100000008461532100: 88% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: веер 1, транзит 1, конечный получатель 3; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,617.154143064,100000001819396100,terminal
27,15,0,3436955.000000000,100000001985793100;100000002152857100;100000005171642100;100000002459093100;100000006664478100,"Гипотеза: сбор денег seed в 100000001985793100 (конечный получатель): 58% из ≈106 тыс. ₸, осевших в кластере. Seed: 0; роли: сбор 1, веер 2, транзит 2, конечный получатель 2; устойчивость 0,58. Не доказательство общей деятельности.",0.576621000,0.000000000,105932.866754466,100000001985793100,terminal
28,14,0,1605604.000000000,100000008213966100;100000000838385100;100000003001661100;100000007382543100;100000000424935100,"Гипотеза: веерная рассылка от 100000007382543100 на 5 получателей; денег seed ≈28 тыс. ₸. Seed: 0; роли: сбор 1, веер 2; устойчивость 0,98. Не доказательство общей деятельности.",0.979167000,0.000000000,27852.459016393,100000008213966100,consolidator
29,13,1,1392916.000000000,100000000703894100;100000001380054100;100000003164661100;100000005077484100;100000000607731100,"Гипотеза: сбор денег seed в 100000000703894100 (периферия): 40% из ≈296 тыс. ₸, осевших в кластере. Seed: 1; роли: веер 1, конечный получатель 2; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,296500.000000000,296500.000000000,100000000703894100,peripheral
30,13,0,6748650.000000000,100000002454724100;100000002911170100;100000000821507100;100000001961048100;100000006567935100,"Гипотеза: окружение крупного плательщика 100000007442518100: 87% выхода участников — не из наблюдаемой сети; денег seed ≈6 тыс. ₸. Seed: 0; роли: веер 2, конечный получатель 6; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,6006.578913386,100000002454724100,terminal
31,11,0,3784703.000000000,100000002710570100;100000003004487100;100000002975437100;100000002212494100;100000002175422100,"Гипотеза: окружение крупного плательщика 100000001317336100: 89% выхода участников — не из наблюдаемой сети; денег seed ≈48 тыс. ₸. Seed: 0; роли: сбор 1, веер 1, конечный получатель 3; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,47967.000000000,100000002710570100,terminal
32,10,0,322010.000000000,100000000993112100;100000008172352100;100000007322059100;100000004552204100;100000001597505100,"Гипотеза: окружение крупного плательщика 100000008172352100: 65% выхода участников — не из наблюдаемой сети; денег seed ≈43 тыс. ₸. Seed: 0; роли: веер 1, конечный получатель 1; устойчивость 0,95. Не доказательство общей деятельности.",0.953968000,0.000000000,43000.000000000,100000000993112100,terminal
33,10,0,1727065.000000000,100000005519998100;100000004076740100;100000004336312100;100000004017410100;100000005932987100,"Гипотеза: окружение крупного плательщика 100000004017410100: 70% выхода участников — не из наблюдаемой сети; денег seed ≈41 тыс. ₸. Seed: 0; роли: веер 2, транзит 2, конечный получатель 1; устойчивость 0,97. Не доказательство общей деятельности.",0.970833000,0.000000000,41397.540983607,100000005519998100,transit
34,9,0,1406982.000000000,100000007647294100;100000002217161100;100000000783406100;100000000954884100;100000001445848100,"Гипотеза: окружение крупного плательщика 100000002217161100: 58% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: веер 1, конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000007647294100,terminal
35,8,0,2473417.910000000,100000004906181100;100000000542087100;100000000557536100;100000000673915100;100000004911971100,"Гипотеза: окружение крупного плательщика 100000004906181100: 96% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: веер 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000004906181100,distributor
36,8,0,389000.000000000,100000005507142100;100000005264874100;100000000600707100;100000001825934100;100000002130400100,"Гипотеза: окружение крупного плательщика 100000002612809100: 83% выхода участников — не из наблюдаемой сети; денег seed ≈23 тыс. ₸. Seed: 0; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,23000.000000000,100000005507142100,peripheral
37,7,0,143000.000000000,100000000507799100;100000005911352100;100000002217806100;100000003962994100;100000004508696100,"Гипотеза: окружение крупного плательщика 100000004508696100: 85% выхода участников — не из наблюдаемой сети; денег seed ≈5 тыс. ₸. Seed: 0; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,5132.000000000,100000000507799100,peripheral
38,7,0,3077000.000000000,100000002241986100;100000000627521100;100000001053894100;100000001286703100;100000002594214100,"Гипотеза: окружение крупного плательщика 100000002241986100: 100% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: веер 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000002241986100,distributor
39,7,0,1765600.000000000,100000007392365100;100000003631015100;100000004976946100;100000005745873100;100000006351075100,"Гипотеза: окружение крупного плательщика 100000007392365100: 99% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: веер 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000007392365100,distributor
40,7,0,1268308.000000000,100000008011159100;100000003664994100;100000003888527100;100000005754335100;100000006169033100,"Гипотеза: окружение крупного плательщика 100000006169033100: 84% выхода участников — не из наблюдаемой сети; денег seed ≈6 тыс. ₸. Seed: 0; роли: веер 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,6339.530425003,100000008011159100,distributor
41,6,1,1615030.000000000,100000005456919100;100000008751429100;100000008736940100;100000008193577100;100000000307908100,"Гипотеза: сбор денег seed в 100000008751429100 (сбор): 34% из ≈795 тыс. ₸, осевших в кластере. Seed: 1; роли: сбор 1, веер 1, конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,794791.759465804,794791.759465804,100000005456919100,terminal
42,6,1,1527967.000000000,100000005183943100;100000007939160100;100000003888271100;100000000955444100;100000000580561100,"Гипотеза: сбор денег seed в 100000007939160100 (конечный получатель): 54% из ≈1,5 млн ₸, осевших в кластере. Seed: 1; роли: конечный получатель 2; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,1482500.000000000,1482500.000000000,100000005183943100,terminal
43,6,0,2540000.000000000,100000004717647100;100000001533161100;100000002659103100;100000002922000100;100000004479404100,"Гипотеза: окружение крупного плательщика 100000004717647100: 86% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: веер 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,4342.228112364,100000004717647100,distributor
44,6,1,275885.000000000,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005485830100,"Гипотеза: сбор денег seed в 100000005895525100 (конечный получатель): 43% из ≈276 тыс. ₸, осевших в кластере. Seed: 1; роли: веер 1, конечный получатель 2; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,275885.000000000,275885.000000000,100000005895525100,terminal
45,6,0,2534500.000000000,100000003747133100;100000004722765100;100000005075949100;100000002578653100;100000004272302100,"Гипотеза: окружение крупного плательщика 100000004722765100: 84% выхода участников — не из наблюдаемой сети; денег seed ≈13 тыс. ₸. Seed: 0; роли: сбор 1; устойчивость 0,95. Не доказательство общей деятельности.",0.952326000,0.000000000,12614.207099687,100000003747133100,consolidator
46,6,0,720900.000000000,100000002794374100;100000006638021100;100000007472293100;100000008333492100;100000008761219100,"Гипотеза: окружение крупного плательщика 100000008761219100: 92% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: нет; устойчивость 0,92. Не доказательство общей деятельности.",0.919355000,0.000000000,0.000000000,100000002794374100,peripheral
47,6,1,383300.000000000,100000004094958100;100000004331458100;100000005546031100;100000005363908100;100000005547096100,"Гипотеза: окружение крупного плательщика 100000005547096100: 59% выхода участников — не из наблюдаемой сети; денег seed ≈90 тыс. ₸. Seed: 1; роли: сбор 1, транзит 2, конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,89500.000000000,89500.000000000,100000004094958100,transit
48,5,0,1189154.000000000,100000000291906100;100000000291908100;100000004670388100;100000004691350100;100000004722630100,"Гипотеза: окружение крупного плательщика 100000004670388100: 77% выхода участников — не из наблюдаемой сети; денег seed ≈8 тыс. ₸. Seed: 0; роли: транзит 1, конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,8000.000000000,100000000291906100,transit
49,5,0,172000.000000000,100000001223977100;100000002700161100;100000004659919100;100000005031696100;100000008461217100,"Гипотеза: окружение крупного плательщика 100000005031696100: 72% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000001223977100,peripheral
50,5,0,338950.000000000,100000004715209100;100000001498732100;100000003133045100;100000004747154100;100000008190411100,"Гипотеза: окружение крупного плательщика 100000004715209100: 99% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: веер 1; устойчивость 0,80. Не доказательство общей деятельности.",0.799124000,0.000000000,0.000000000,100000004715209100,distributor
51,5,0,1138730.000000000,100000002371892100;100000003321895100;100000003692843100;100000007330432100;100000008430691100,"Гипотеза: окружение крупного плательщика 100000008430691100: 96% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: нет; устойчивость 0,64. Не доказательство общей деятельности.",0.635489000,0.000000000,0.000000000,100000002371892100,peripheral
52,5,1,2809200.000000000,100000004135268100;100000007507343100;100000004979498100;100000002738256100;100000008571433100,"Гипотеза: сбор денег seed в 100000004135268100 (транзит): 39% из ≈1,4 млн ₸, осевших в кластере. Seed: 1; роли: транзит 2, конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,1434000.000000000,1434000.000000000,100000004135268100,transit
53,5,2,108007.000000000,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,"Гипотеза: сбор денег seed в 100000006562026100 (конечный получатель): 69% из ≈108 тыс. ₸, осевших в кластере. Seed: 2; роли: конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,108007.000000000,108007.000000000,100000006562026100,terminal
54,4,0,460000.000000000,100000006069103100;100000000201868100;100000003192220100;100000006787636100,"Слабые признаки роли; денег seed ≈37 тыс. ₸. Seed: 0; роли: транзит 2; устойчивость 0,37. Не доказательство общей деятельности.",0.369835000,0.000000000,36883.916021581,100000006069103100,transit
55,4,0,518000.000000000,100000003163886100;100000000629812100;100000001380107100;100000002205022100,"Гипотеза: окружение крупного плательщика 100000002205022100: 99% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000003163886100,terminal
56,4,1,1404980.000000000,100000001872484100;100000000785800100;100000002459163100;100000008601794100,"Гипотеза: сбор денег seed в 100000008601794100 (периферия): 55% из ≈835 тыс. ₸, осевших в кластере. Seed: 1; роли: транзит 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,835000.000000000,835000.000000000,100000001872484100,peripheral
57,4,0,1595700.000000000,100000001052945100;100000001131403100;100000004616845100;100000005146665100,"Гипотеза: окружение крупного плательщика 100000001052945100: 96% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000001052945100,peripheral
58,4,1,79050.000000000,100000003148220100;100000001852140100;100000004971871100;100000006888238100,"Гипотеза: окружение крупного плательщика 100000003148220100: 86% выхода участников — не из наблюдаемой сети; денег seed ≈6 тыс. ₸. Seed: 1; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,5650.000000000,5650.000000000,100000003148220100,peripheral
59,4,0,332709.000000000,100000002513028100;100000002516862100;100000004610802100;100000004780083100,"Гипотеза: окружение крупного плательщика 100000002513028100: 100% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000002513028100,peripheral
60,4,2,1499679.000000000,100000008418835100;100000008730021100;100000008701944100;100000004269433100,"Гипотеза: сбор денег seed в 100000008418835100 (периферия): 90% из ≈1,3 млн ₸, осевших в кластере. Seed: 2; роли: конечный получатель 1; устойчивость 0,37. Не доказательство общей деятельности.",0.369347000,1372000.000000000,1313500.000000000,100000008418835100,peripheral
61,3,1,450000.000000000,100000000769919100;100000002371751100;100000007018630100,"Гипотеза: сбор денег seed в 100000000769919100 (конечный получатель): 100% из ≈200 тыс. ₸, осевших в кластере. Seed: 1; роли: конечный получатель 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,200000.000000000,200000.000000000,100000000769919100,terminal
62,3,1,390167.620000000,100000002781227100;100000002796853100;100000008522127100,"Гипотеза: сбор денег seed в 100000002796853100 (периферия): 97% из ≈133 тыс. ₸, осевших в кластере. Seed: 1; роли: транзит 1; устойчивость 0,90. Не доказательство общей деятельности.",0.903806000,145000.000000000,133357.510683761,100000002781227100,transit
63,3,0,1557988.000000000,100000004035925100;100000008258458100;100000008619159100,"Гипотеза: окружение крупного плательщика 100000008258458100: 99% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000004035925100,peripheral
64,3,1,450816.000000000,100000005034574100;100000007283257100;100000004388983100,"Гипотеза: сбор денег seed в 100000005034574100 (конечный получатель): 57% из ≈451 тыс. ₸, осевших в кластере. Seed: 1; роли: конечный получатель 2; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,450816.000000000,450816.000000000,100000005034574100,terminal
65,3,0,627870.000000000,100000005664632100;100000008628231100;100000004666651100,"Гипотеза: окружение крупного плательщика 100000008628231100: 92% выхода участников — не из наблюдаемой сети; денег seed ≈50 тыс. ₸. Seed: 0; роли: конечный получатель 2; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,50000.000000000,100000005664632100,terminal
66,2,0,761255.000000000,100000000583220100;100000004586598100,"Гипотеза: окружение крупного плательщика 100000000583220100: 99% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,6.837309276,100000000583220100,peripheral
67,2,1,30000.000000000,100000003980083100;100000003200071100,"Слабые признаки роли; денег seed ≈30 тыс. ₸. Seed: 1; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,30000.000000000,30000.000000000,100000003980083100,peripheral
68,2,1,81465.000000000,100000003865939100;100000005392290100,"Слабые признаки роли; денег seed ≈81 тыс. ₸. Seed: 1; роли: нет; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,81465.000000000,81465.000000000,100000003865939100,peripheral
69,2,0,857500.000000000,100000008324800100;100000007390016100,"Слабые признаки роли; денег seed не видно. Seed: 0; роли: сбор 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,0.000000000,100000008324800100,consolidator
70,1,1,0.000000000,100000000456947100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000000456947100,peripheral
71,1,1,0.000000000,100000003265658100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000003265658100,peripheral
72,1,1,0.000000000,100000003349739100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000003349739100,peripheral
73,1,1,0.000000000,100000003770083100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000003770083100,peripheral
74,1,1,0.000000000,100000004021459100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000004021459100,peripheral
75,1,1,0.000000000,100000004174835100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000004174835100,peripheral
76,1,1,0.000000000,100000005017150100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005017150100,peripheral
77,1,1,0.000000000,100000005087431100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005087431100,peripheral
78,1,1,0.000000000,100000005235389100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005235389100,peripheral
79,1,1,0.000000000,100000005480435100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005480435100,peripheral
80,1,1,0.000000000,100000005495722100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005495722100,peripheral
81,1,1,0.000000000,100000005550592100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005550592100,peripheral
82,1,1,0.000000000,100000005560900100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005560900100,peripheral
83,1,1,0.000000000,100000005568407100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000005568407100,peripheral
84,1,1,0.000000000,100000008117324100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000008117324100,peripheral
85,1,1,0.000000000,100000008205000100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000008205000100,peripheral
86,1,1,0.000000000,100000008513251100,Нет переводов в выгрузке; назначение неизвестно.,1.000000000,0.000000000,0.000000000,100000008513251100,peripheral
